Month,House,Gecode,Limit,OGSA,Preferred
3,30,8000,30000,8000,8000
4,30,8000,30000,8000,8000
5,30,8000,30000,8000,8000
6,30,8000,30000,8000,8000
7,30,8000,30000,8000,8000
8,30,8000,30000,8000,8000
9,30,8000,30000,8000,8000
10,30,8000,30000,8000,8000
11,30,8000,30000,8000,8000
12,30,8000,30000,8000,8000
1,31,2300,11500,2300,2300
2,31,2300,11500,2300,2300
3,31,2300,11500,2300,2300
4,31,2300,11500,2300,2300
5,31,2300,11500,2300,2300
6,31,2300,11500,2300,2300
7,31,2300,11500,2300,2300
8,31,2300,11500,2300,2300
9,31,2300,11500,2300,2300
10,31,2300,11500,2300,2300
11,31,2300,11500,2300,2300
12,31,2300,11500,2300,2300
1,32,6000,30000,6000,6000
2,32,6000,30000,6000,6000
3,32,6000,30000,6000,6000
4,32,6000,30000,6000,6000
5,32,6000,30000,6000,6000
6,32,7200,30000,7200,6000
7,32,6000,30000,6000,6000
8,32,7200,30000,7200,6000
9,32,7200,30000,7200,6000
10,32,6000,30000,6000,6000
11,32,6000,30000,6000,6000
12,32,6000,30000,6000,6000
1,33,3600,18000,3600,3600
2,33,3600,18000,3600,3600
3,33,3600,18000,3600,3600
4,33,3600,18000,3600,3600
5,33,3600,18000,3600,3600
6,33,3600,18000,3600,3600
7,33,3600,18000,3600,3600
8,33,3700,18000,3700,3600
9,33,3600,18000,3600,3600
10,33,3600,18000,3600,3600
11,33,3600,18000,3600,3600
12,33,4800,18000,4800,3600
1,34,150,750,150,150
2,34,150,750,150,150
3,34,150,750,150,150
4,34,150,750,150,150
5,34,150,750,150,150
6,34,150,750,150,150
7,34,150,750,150,150
8,34,150,750,150,150
9,34,150,750,150,150
10,34,150,750,150,150
11,34,150,750,150,150
12,34,150,750,150,150
1,35,606,2750,606,606
2,35,606,2750,606,606
3,35,606,2750,606,606
4,35,606,2750,606,606
5,35,606,2750,606,606
6,35,606,2750,606,606
7,35,606,2750,606,606
8,35,606,2750,606,606
9,35,606,2750,606,606
10,35,606,2750,606,606
11,35,606,2750,606,606
12,35,606,2750,606,606
1,36,2000,10000,2210,2000
2,36,2000,10000,2210,2000
3,36,2000,10000,2210,2000
4,36,2000,10000,2210,2000
5,36,2000,10000,2210,2000
6,36,2000,10000,2210,2000
7,36,2000,10000,2000,2000
8,36,2550,10000,2550,2000
9,36,2000,10000,2210,2000
10,36,2000,10000,2210,2000
11,36,2000,10000,2000,2000
12,36,2000,10000,2000,2000
1,37,972,4500,972,972
2,37,972,4500,972,972
3,37,972,4500,972,972
4,37,972,4500,972,972
5,37,972,4500,972,972
6,37,972,4500,972,972
7,37,972,4500,972,972
8,37,972,4500,972,972
9,37,972,4500,972,972
10,37,972,4500,972,972
11,37,972,4500,972,972
12,37,972,4500,972,972
1,38,1200,6000,1200,1200
2,38,1200,6000,1200,1200
3,38,1200,6000,1200,1200
4,38,1200,6000,1200,1200
5,38,1200,6000,1200,1200
6,38,1200,6000,1200,1200
7,38,1200,6000,1200,1200
8,38,1200,6000,1200,1200
9,38,1200,6000,1200,1200
10,38,1200,6000,1200,1200
11,38,1200,6000,2400,1200
12,38,1200,6000,1200,1200
1,39,6000,30000,6000,6000
2,39,6000,30000,6000,6000
3,39,6000,30000,6000,6000
4,39,6000,30000,6000,6000
5,39,6000,30000,6000,6000
6,39,6000,30000,6000,6000
7,39,6000,30000,6000,6000
8,39,8400,30000,8400,6000
9,39,6000,30000,6000,6000
10,39,6000,30000,6000,6000
11,39,6000,30000,6000,6000
12,39,6000,30000,6000,6000
1,40,1268,6000,1268,1200
2,40,1268,6000,1268,1200
3,40,1200,6000,1200,1200
4,40,1200,6000,1200,1200
5,40,1200,6000,1200,1200
6,40,1200,6000,1200,1200
7,40,1200,6000,1200,1200
8,40,1200,6000,1200,1200
9,40,1200,6000,1200,1200
10,40,1200,6000,1200,1200
11,40,1200,6000,1200,1200
12,40,1268,6000,1200,1200
1,41,3600,18000,3600,3600
2,41,3600,18000,3600,3600
3,41,3600,18000,3600,3600
4,41,3600,18000,3600,3600
5,41,3600,18000,3600,3600
6,41,3600,18000,3600,3600
7,41,3600,18000,3600,3600
8,41,3600,18000,3600,3600
9,41,3600,18000,3600,3600
10,41,3600,18000,3600,3600
11,41,3600,18000,3600,3600
12,41,3600,18000,3600,3600
1,42,4100,12000,4750,4400
2,42,4100,12000,4100,4400
3,42,4100,12000,4100,4400
4,42,4750,12000,4750,4400
5,42,4750,12000,4750,4400
6,42,4750,12000,4750,4400
7,42,4100,12000,4100,4400
8,42,4750,12000,4750,4400
9,42,4750,12000,4750,4400
10,42,4750,12000,4750,4400
11,42,4100,12000,4100,4400
12,42,4750,12000,4750,4400
1,43,1200,6000,1200,1200
2,43,2200,6000,2200,1200
3,43,1200,6000,1200,1200
4,43,1211,6000,1211,1200
5,43,1200,6000,1200,1200
6,43,2200,6000,2200,1200
7,43,1200,6000,1200,1200
8,43,1200,6000,2200,1200
9,43,2200,6000,2200,1200
10,43,1211,6000,1211,1200
11,43,1200,6000,1200,1200
12,43,1200,6000,1200,1200
1,44,1000,5000,1000,1000
2,44,1060,5000,1060,1000
3,44,1060,5000,1060,1000
4,44,1060,5000,1060,1000
5,44,1000,5000,1000,1000
6,44,1060,5000,1060,1000
7,44,1060,5000,1060,1000
8,44,1180,5000,1180,1000
9,44,1180,5000,1180,1000
10,44,1120,5000,1120,1000
11,44,1060,5000,1060,1000
12,44,1060,5000,1060,1000
1,45,148,740,148,223
2,45,148,740,148,223
3,45,223,740,223,223
4,45,223,740,223,223
5,45,223,740,223,223
6,45,223,740,223,223
7,45,223,740,223,223
8,45,223,740,223,223
9,45,223,740,223,223
10,45,223,740,223,223
11,45,223,740,223,223
12,45,148,740,148,223
1,46,2400,12000,2400,2400
2,46,2400,12000,2400,2400
3,46,2400,12000,2400,2400
4,46,2400,12000,2400,2400
5,46,2400,12000,2400,2400
6,46,2400,12000,2400,2400
7,46,2400,12000,2400,2400
8,46,2472,12000,2472,2400
9,46,2472,12000,2472,2400
10,46,2400,12000,2400,2400
11,46,2400,12000,2400,2400
12,46,2400,12000,2400,2400
1,47,2400,12000,2400,2400
2,47,2400,12000,2400,2400
3,47,2400,12000,2400,2400
4,47,2400,12000,2400,2400
5,47,2400,12000,2400,2400
6,47,2400,12000,2400,2400
7,47,2400,12000,2400,2400
8,47,4700,12000,4700,2400
9,47,2400,12000,2400,2400
10,47,2493,12000,2493,2400
11,47,2400,12000,2400,2400
12,47,2400,12000,2400,2400
1,48,1200,6000,1200,1200
2,48,1202,6000,1202,1200
3,48,1202,6000,1202,1200
4,48,1202,6000,1202,1200
5,48,1202,6000,1202,1200
6,48,1200,6000,1200,1200
7,48,1200,6000,1200,1200
8,48,1202,6000,1202,1200
9,48,1200,6000,1200,1200
10,48,1202,6000,1202,1200
11,48,1202,6000,1202,1200
12,48,1200,6000,1200,1200
1,49,8400,30000,6000,6001
2,49,6000,30000,6000,6001
3,49,8400,30000,6000,6001
4,49,8400,30000,8400,6001
5,49,6000,30000,6000,6001
6,49,8400,30000,8400,6001
7,49,8400,30000,8400,6001
8,49,8400,30000,8400,6001
9,49,8400,30000,8400,6001
10,49,8400,30000,8400,6001
11,49,8000,30000,8000,6001
12,49,8400,30000,8400,6001
1,50,3600,18000,3600,3600
2,50,3600,18000,3600,3600
3,50,3600,18000,3600,3600
4,50,3600,18000,3600,3600
5,50,3600,18000,3600,3600
6,50,3600,18000,3600,3600
7,50,3600,18000,3600,3600
8,50,3600,18000,3600,3600
9,50,3600,18000,3600,3600
10,50,3600,18000,3600,3600
11,50,3600,18000,3600,3600
12,50,3600,18000,3600,3600
1,51,2200,11000,2200,2200
2,51,2215,11000,2215,2200
3,51,2200,11000,2215,2200
4,51,2215,11000,2215,2200
5,51,2215,11000,2215,2200
6,51,2215,11000,2215,2200
7,51,2200,11000,2200,2200
8,51,2215,11000,2215,2200
9,51,2215,11000,2215,2200
10,51,2215,11000,2215,2200
11,51,2215,11000,2215,2200
12,51,2215,11000,2215,2200
1,52,3515,12000,3515,2400
2,52,2415,12000,2415,2400
3,52,3515,12000,3515,2400
4,52,3515,12000,3515,2400
5,52,3515,12000,3515,2400
6,52,3515,12000,3515,2400
7,52,3515,12000,3515,2400
8,52,3515,12000,3515,2400
9,52,3515,12000,3515,2400
10,52,3515,12000,3515,2400
11,52,3515,12000,3515,2400
12,52,3515,12000,3515,2400
1,53,4050,20000,4050,4000
2,53,4000,20000,4000,4000
3,53,4050,20000,4050,4000
4,53,4050,20000,4050,4000
5,53,4050,20000,4050,4000
6,53,4050,20000,4050,4000
7,53,4050,20000,4050,4000
8,53,4050,20000,4050,4000
9,53,4050,20000,4050,4000
10,53,4050,20000,4050,4000
11,53,4000,20000,4000,4000
12,53,4050,20000,4050,4000
1,54,1000,5000,1000,1200
2,54,1600,5000,1000,1200
3,54,1000,5000,1000,1200
4,54,1200,5000,1200,1200
5,54,1000,5000,1000,1200
6,54,1000,5000,1000,1200
7,54,1000,5000,1000,1200
8,54,1000,5000,1000,1200
9,54,1000,5000,1000,1200
10,54,1000,5000,1000,1200
11,54,1000,5000,1000,1200
12,54,1000,5000,1000,1200
1,55,2400,12000,2400,2400
2,55,2400,12000,2400,2400
3,55,2400,12000,2400,2400
4,55,2400,12000,2400,2400
5,55,2400,12000,2400,2400
6,55,2400,12000,2400,2400
7,55,2400,12000,2400,2400
8,55,2472,12000,2400,2400
9,55,2400,12000,2400,2400
10,55,2400,12000,2400,2400
11,55,2400,12000,2400,2400
12,55,2400,12000,2400,2400
1,56,7400,25000,7400,5000
2,56,7400,25000,7400,5000
3,56,7400,25000,7400,5000
4,56,7400,25000,7400,5000
5,56,7400,25000,7400,5000
6,56,7400,25000,7400,5000
7,56,7400,25000,7400,5000
8,56,6000,25000,7400,5000
9,56,6000,25000,7400,5000
10,56,7400,25000,7400,5000
11,56,7400,25000,7400,5000
12,56,7400,25000,7400,5000
1,57,1200,6000,1200,1200
2,57,1200,6000,1200,1200
3,57,1200,6000,1200,1200
4,57,1200,6000,1200,1200
5,57,1200,6000,1200,1200
6,57,1800,6000,1800,1200
7,57,1200,6000,1200,1200
8,57,1200,6000,1200,1200
9,57,1200,6000,1200,1200
10,57,1800,6000,1800,1200
11,57,1200,6000,1200,1200
12,57,1200,6000,1200,1200
1,58,120,600,120,120
2,58,120,600,120,120
3,58,120,600,120,120
4,58,120,600,120,120
5,58,120,600,120,120
6,58,120,600,120,120
7,58,120,600,120,120
8,58,120,600,120,120
9,58,120,600,120,120
10,58,120,600,120,120
11,58,120,600,120,120
12,58,120,600,120,120
1,59,2000,10000,2000,2000
2,59,2000,10000,2000,2000
3,59,2000,10000,2000,2000
4,59,2000,10000,2000,2000
5,59,2000,10000,2000,2000
6,59,2000,10000,2000,2000
7,59,2000,10000,2000,2000
8,59,2700,10000,2700,2000
9,59,2700,10000,2700,2000
10,59,2700,10000,2700,2000
11,59,2000,10000,2000,2000
12,59,2700,10000,2700,2000
1,60,3600,18000,3600,3600
2,60,3600,18000,3600,3600
3,60,3600,18000,3600,3600
4,60,3600,18000,3600,3600
5,60,3600,18000,3600,3600
6,60,3600,18000,3600,3600
7,60,3600,18000,3600,3600
8,60,3600,18000,3600,3600
9,60,3600,18000,3600,3600
10,60,3600,18000,3600,3600
11,60,3600,18000,3600,3600
12,60,3600,18000,3600,3600
1,61,6000,30000,6000,6000
2,61,6000,30000,6000,6000
3,61,6000,30000,6000,6000
4,61,6000,30000,6000,6000
5,61,6000,30000,6000,6000
6,61,6000,30000,6000,6000
7,61,6000,30000,6000,6000
8,61,6000,30000,6000,6000
9,61,6000,30000,6000,6000
10,61,6000,30000,6000,6000
11,61,6000,30000,6000,6000
12,61,6000,30000,6000,6000
1,62,5000,25000,5000,5000
2,62,5000,25000,5000,5000
3,62,5000,25000,5000,5000
4,62,5000,25000,5000,5000
5,62,6000,25000,5000,5000
6,62,6000,25000,5000,5000
7,62,6000,25000,5000,5000
8,62,6000,25000,5000,5000
9,62,6000,25000,5000,5000
10,62,6000,25000,5000,5000
11,62,5000,25000,5000,5000
12,62,6000,25000,5000,5000
1,63,93,465,93,93
2,63,93,465,93,93
3,63,93,465,93,93
4,63,93,465,93,93
5,63,93,465,93,93
6,63,93,465,93,93
7,63,93,465,93,93
8,63,93,465,93,93
9,63,93,465,93,93
10,63,93,465,93,93
11,63,93,465,93,93
12,63,93,465,93,93
1,64,2400,12000,2400,2400
2,64,3095,12000,3050,2400
3,64,2400,12000,3050,2400
4,64,3095,12000,3095,2400
5,64,3095,12000,3095,2400
6,64,3095,12000,3095,2400
7,64,3095,12000,3095,2400
8,64,3095,12000,3095,2400
9,64,2400,12000,3095,2400
10,64,2400,12000,3050,2400
11,64,2400,12000,2400,2400
12,64,2400,12000,2400,2400
1,65,1100,5500,1100,1102
2,65,1100,5500,1100,1102
3,65,1100,5500,1100,1102
4,65,1100,5500,1100,1102
5,65,1100,5500,1100,1102
6,65,1100,5500,1100,1102
7,65,1100,5500,1100,1102
8,65,1100,5500,1100,1102
9,65,1100,5500,1100,1102
10,65,1100,5500,1100,1102
11,65,1100,5500,1100,1102
12,65,1100,5500,1100,1102
1,66,5000,25000,5000,5000
2,66,8600,25000,8600,5000
3,66,5000,25000,5000,5000
4,66,5000,25000,8600,5000
5,66,8600,25000,8600,5000
6,66,5000,25000,5000,5000
7,66,5000,25000,5000,5000
8,66,5000,25000,5000,5000
9,66,5500,25000,5500,5000
10,66,8600,25000,8600,5000
11,66,5000,25000,5000,5000
12,66,5500,25000,5500,5000
1,67,4000,20000,4000,4000
2,67,4000,20000,4000,4000
3,67,4000,20000,4000,4000
4,67,4000,20000,4000,4000
5,67,4000,20000,4000,4000
6,67,4015,20000,4000,4000
7,67,4000,20000,4000,4000
8,67,4015,20000,4000,4000
9,67,4000,20000,4000,4000
10,67,4000,20000,4000,4000
11,67,4000,20000,4000,4000
12,67,4000,20000,4000,4000
1,68,4400,12000,2400,2400
2,68,4400,12000,2400,2400
3,68,4400,12000,2400,2400
4,68,4400,12000,2400,2400
5,68,4400,12000,2400,2400
6,68,4400,12000,2400,2400
7,68,4400,12000,2400,2400
8,68,4400,12000,2400,2400
9,68,4400,12000,2400,2400
10,68,4400,12000,2400,2400
11,68,4400,12000,2400,2400
12,68,4400,12000,2400,2400
1,69,3400,12000,3400,2400
2,69,2400,12000,2400,2400
3,69,2400,12000,2400,2400
4,69,3400,12000,3400,2400
5,69,3400,12000,3400,2400
6,69,3400,12000,3400,2400
7,69,2400,12000,3400,2400
8,69,3400,12000,3400,2400
9,69,2400,12000,2400,2400
10,69,2400,12000,2400,2400
11,69,2400,12000,2400,2400
12,69,2400,12000,3400,2400
1,70,2200,10000,2000,2000
2,70,2050,10000,2000,2000
3,70,2050,10000,2000,2000
4,70,2050,10000,2000,2000
5,70,2200,10000,2000,2000
6,70,2200,10000,2000,2000
7,70,2200,10000,2000,2000
8,70,2200,10000,2000,2000
9,70,2200,10000,2000,2000
10,70,2200,10000,2000,2000
11,70,2200,10000,2000,2000
12,70,2200,10000,2000,2000
1,71,6000,30000,6000,6000
2,71,6000,30000,6000,6000
3,71,6000,30000,6000,6000
4,71,6000,30000,6000,6000
5,71,6000,30000,6000,6000
6,71,6000,30000,6000,6000
7,71,6000,30000,6000,6000
8,71,6000,30000,6000,6000
9,71,6000,30000,6000,6000
10,71,6400,30000,6400,6000
11,71,6000,30000,6000,6000
12,71,6000,30000,6000,6000
1,72,7223,30000,7223,7200
2,72,6008,30000,6008,7200
3,72,7208,30000,7208,7200
4,72,7223,30000,7223,7200
5,72,7223,30000,7223,7200
6,72,7208,30000,7208,7200
7,72,8423,30000,8423,7200
8,72,9608,30000,9608,7200
9,72,7208,30000,7208,7200
10,72,7223,30000,7223,7200
11,72,6008,30000,6008,7200
12,72,7208,30000,7208,7200
1,73,5900,17500,5900,3500
2,73,5900,17500,5900,3500
3,73,5900,17500,5900,3500
4,73,5900,17500,5900,3500
5,73,5900,17500,5900,3500
6,73,5900,17500,5900,3500
7,73,5900,17500,5900,3500
8,73,5900,17500,5900,3500
9,73,5900,17500,5900,3500
10,73,5900,17500,5900,3500
11,73,5900,17500,5900,3500
12,73,5900,17500,5900,3500
1,74,2060,10000,2060,2060
2,74,2060,10000,2060,2060
3,74,2060,10000,2060,2060
4,74,2060,10000,2060,2060
5,74,2060,10000,2060,2060
6,74,2060,10000,2060,2060
7,74,2060,10000,2060,2060
8,74,2060,10000,2060,2060
9,74,2060,10000,2060,2060
10,74,2000,10000,2000,2060
11,74,2060,10000,2060,2060
12,74,2060,10000,2060,2060
1,75,2950,12000,2950,2400
2,75,2400,12000,2400,2400
3,75,2950,12000,2950,2400
4,75,2950,12000,2950,2400
5,75,2950,12000,2950,2400
